City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
46,paulden,34.8856,-112.4682,8.23,36,50,1.46,US,1701662257
47,atafu village,-8.5421,-172.5159,29.45,76,85,6.84,TK,1701662257
48,kharan,28.5833,65.4167,16.16,28,0,3.89,PK,1701662257
49,shingu,33.7333,135.9833,13.49,40,0,1.87,JP,1701662258
50,bethel,41.3712,-73.414,7.23,89,100,0.45,US,1701662258
51,ilulissat,69.2167,-51.1,-9.1,83,100,0.73,GL,1701662258
52,wailua homesteads,22.0669,-159.378,26.24,83,20,4.63,US,1701662258
53,margaret river,-33.95,115.0667,19.57,61,100,4.82,AU,1701662258
54,tralee,52.2704,-9.7026,1.46,90,34,4.16,IE,1701662259
55,puerto penasco,31.3167,-113.5333,19.57,43,14,4.37,MX,1701662259
56,luderitz,-26.6481,15.1594,15.49,74,0,8.48,NA,1701662259
57,fisterra,42.9049,-9.2629,13.9,76,18,11.7,ES,1701662260
58,olonkinbyen,70.9221,-8.7187,0.2,85,36,6.03,SJ,1701662260
59,fale old settlement,-9.3852,-171.2468,29.48,74,100,6.87,TK,1701662260
60,abepura,-2.6333,140.5833,28.45,74,40,1.03,ID,1701662260
61,mossel bay,-34.1831,22.146,16.96,77,18,3.09,ZA,1701662261
62,thunder bay,48.4001,-89.3168,-6.01,93,100,1.03,CA,1701662177
63,klaksvik,62.2266,-6.589,0.51,61,95,5.07,FO,1701662014
64,fortuna,40.5982,-124.1573,14.81,93,100,6.17,US,1701661890
65,gaspe,48.8334,-64.4819,-4.05,68,100,2.06,CA,1701662261
66,longyearbyen,78.2186,15.6401,-8.09,73,75,5.66,SJ,1701662262
67,las tablas,7.7667,-80.2833,25.98,84,57,4.6,PA,1701662262
68,nishinoomote,30.7333,131.0,16.31,67,75,2.06,JP,1701662262
69,thompson,55.7435,-97.8558,-5.91,93,100,1.54,CA,1701662262
70,aoulef,26.9667,1.0833,14.98,35,0,5.25,DZ,1701662263
71,angaur state,6.906,134.13,27.21,84,100,10.05,PW,1701662263
72,puquio,-14.7,-74.1333,14.06,42,99,0.87,PE,1701662263
73,muisne,0.6,-80.0333,25.08,86,96,3.13,EC,1701662263
74,pacific grove,36.6177,-121.9166,14.68,84,0,1.54,US,1701662263
75,ippy,6.2679,21.2247,22.34,86,100,0.97,CF,1701662263
76,alcacer do sal,38.3733,-8.5144,13.47,92,100,1.43,PT,1701662264
77,tiksi,71.6872,128.8694,-29.57,99,100,3.35,RU,1701662264
78,prince rupert,54.3161,-130.3201,8.83,82,100,9.26,CA,1701662264
79,qaqortoq,60.7167,-46.0333,-3.68,73,100,4.26,GL,1701662264
80,isafjordur,66.0755,-23.124,0.89,85,100,3.96,IS,1701662264
81,labrador city,52.9463,-66.9114,-15.05,85,100,1.54,CA,1701662264
82,badger,64.8,-147.5333,-19.24,72,40,0.0,US,1701662265
83,gannan,47.9147,123.5031,-2.21,66,4,4.14,CN,1701662265
84,aasiaat,68.7098,-52.8699,-10.31,82,100,1.67,GL,1701662265
85,campo mourao,-24.0456,-52.3831,20.91,97,100,3.03,BR,1701662224
86,heniches'k,46.1759,34.8034,3.58,64,100,5.86,UA,1701662265
87,tonghae,37.5439,129.1069,10.5,23,8,1.26,KR,1701662265
88,sitka,57.0531,-135.33,6.94,76,100,7.2,US,1701662265
89,juneau,58.3019,-134.4197,1.0,86,100,0.0,US,1701662007
90,udachny,66.4167,112.4,-37.53,73,88,1.58,RU,1701662266
91,keningau,5.3378,116.1602,31.11,61,99,0.98,MY,1701662266
92,springbok,-29.6643,17.8865,11.67,67,0,1.78,ZA,1701662266
93,papatowai,-46.5619,169.4708,12.08,54,19,6.01,NZ,1701662266
94,tsarevo,42.1667,27.85,5.01,92,100,7.16,BG,1701662266
95,bon-encontre,44.1852,0.6676,6.02,81,100,5.66,FR,1701662266
96,kuraymah,18.55,31.85,21.61,33,7,4.71,SD,1701662266
97,iskateley,67.6803,53.1512,-16.04,95,95,5.12,RU,1701662267
98,flying fish cove,-10.4217,105.6791,27.82,74,100,5.14,CX,1701662267
99,ancud,-41.8697,-73.8203,6.77,88,0,2.55,CL,1701662267
100,constantia,44.1833,28.65,1.5,63,100,6.2,RO,1701662267
101,hermanus,-34.4187,19.2345,16.98,73,77,2.69,ZA,1701662267
102,victorica,-36.2151,-65.4359,14.01,27,75,2.97,AR,1701662267
103,vila velha,-20.3297,-40.2925,26.08,85,75,5.14,BR,1701662267
104,zhumysker,49.3333,49.4,7.76,96,100,4.77,KZ,1701662267
105,bamboo flat,11.7,92.7167,28.05,83,75,3.09,IN,1701662268
106,west island,-12.1568,96.8225,28.99,65,44,5.66,CC,1701662268
107,kone,-21.0595,164.8658,29.97,56,77,2.42,NC,1701662268
108,bikenibeu village,1.3673,173.1241,30.98,74,20,3.6,KI,1701662268
109,allapalli,19.4167,80.0667,25.16,56,100,0.9,IN,1701662268
110,port mathurin,-19.6833,63.4167,27.05,83,20,7.2,MU,1701662268
111,i-n-salah,27.1935,2.4607,13.36,35,0,5.95,DZ,1701662268
112,ilave,-16.0833,-69.6667,10.04,68,100,1.13,PE,1701662269
113,dedza,-14.3779,34.3332,15.9,51,1,0.58,MW,1701662269
114,kailua-kona,19.6406,-155.9956,26.98,84,40,2.06,US,1701662111
115,coquimbo,-29.9533,-71.3436,14.85,82,0,3.09,CL,1701662269
116,woolgoolga,-30.1106,153.2007,23.93,73,42,5.04,AU,1701662269
117,saipan,15.1355,145.701,30.39,66,0,6.69,MP,1701662269
118,sona,45.4388,10.8255,1.44,65,77,1.11,IT,1701662269
119,gadzhiyevo,69.2551,33.3362,-5.99,96,100,2.11,RU,1701662270
120,minas de marcona,-15.2119,-75.1103,14.04,84,67,4.78,PE,1701662270
121,tra vinh,9.9347,106.3453,30.58,62,97,2.34,VN,1701662270
122,tadine,-21.55,167.8833,26.18,64,30,2.5,NC,1701662270
123,valle de la pascua,9.2155,-66.0073,23.75,82,3,3.85,VE,1701662270
124,hawaiian paradise park,19.5933,-154.9731,22.8,97,100,2.57,US,1701662270
125,amga,60.8953,131.9608,-39.17,97,85,0.53,RU,1701662270
126,caska,41.6506,21.6622,0.29,80,79,1.78,MK,1701662271
127,borogontsy,62.6683,131.1683,-40.34,99,97,1.21,RU,1701662271
128,puerto natales,-51.7236,-72.4875,6.03,88,83,3.51,CL,1701662271
129,college,64.8569,-147.8028,-19.19,73,20,0.0,US,1701662271
130,huarmey,-10.0681,-78.1522,20.16,86,100,3.72,PE,1701662271
131,uzundere,40.5301,41.5584,5.61,53,66,1.78,TR,1701662271
132,valparaiso,-33.0393,-71.6273,13.8,54,0,1.03,CL,1701662172
